
  1, 0.000001, 500, 244.018992, 178697,
  2, 0.000001, 500, 125.624569, 178697,
  3, 0.000001, 500,  95.176122, 178697,
  4, 0.000001, 500,  68.576860, 178697,
  5, 0.000001, 500,  53.625802, 178697,
  6, 0.000001, 500,  45.736994, 178697,
  7, 0.000001, 500,  40.413946, 178697,
  8, 0.000001, 500,  36.015978, 178697,
  9, 0.000001, 500,  32.623176, 178697,
 10, 0.000001, 500,  29.602991, 178697,
 12, 0.000001, 500,  25.958644, 178697,
 14, 0.000001, 500,  22.497563, 178697,
 17, 0.000001, 500,  19.346542, 178697,
 20, 0.000001, 500,  16.722067, 178697,
 24, 0.000001, 500,  14.573165, 178697,
 28, 0.000001, 500,  13.043040, 178697,
 34, 0.000001, 500,  11.572783, 178697,
 40, 0.000001, 500,  10.737051, 178697,
 45, 0.000001, 500,  10.559611, 178697,
 50, 0.000001, 500,   9.782370, 178697,
 60, 0.000001, 500,   9.216693, 178697,
 70, 0.000001, 500,   8.536906, 178697,
 80, 0.000001, 500,   8.030058, 178697,
 90, 0.000001, 500,   7.209478, 178697,
100, 0.000001, 500,   6.721151, 178697,
120, 0.000001, 500,   6.491325, 178697,
140, 0.000001, 500,   5.234621, 178697,
160, 0.000001, 500,   4.415618, 178697,
176, 0.000001, 500,   4.092671, 178697,
